combo_id	status	exit_code	metrics_found	ckpt_dir	seed	lr	optimizer	weight_decay	grad_clip	lr_scheduler	lr_milestones	lr_gamma	lambda_envpred	lambda_future_mi	lambda_swap	lambda_mask_sparse	sparse_target	train_loss_scale	mae	mse	rmse	mape	metric_path
combo_0045	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0045	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.3	0.05	0.05	0.03	1e-3	0.25	normalized	15.562187186232558	592.4454849518097	24.3402030589683	11.630629840197864	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0045/best_test_metrics.json
combo_0046	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0046	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.3	0.05	0.05	0.03	1e-3	0.3	normalized	15.560881580318416	592.307896657033	24.337376536040875	11.576708316802979	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0046/best_test_metrics.json
combo_0047	failed	139	0	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0047	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.3	0.05	0.05	0.05	1e-3	0.25	normalized	nan	nan	nan	nan	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0047/best_test_metrics.json
combo_0048	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0048	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.3	0.05	0.05	0.05	1e-3	0.3	normalized	15.620401532800347	589.9588575620909	24.28906868453566	11.645002257716548	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0048/best_test_metrics.json
combo_0049	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0049	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.5	0.03	0.03	0.03	1e-3	0.25	normalized	15.36000294728322	586.4227868157465	24.216167880483205	10.422032798732722	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0049/best_test_metrics.json
combo_0050	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0050	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.5	0.03	0.03	0.03	1e-3	0.3	normalized	15.26272271560119	582.0749161179001	24.12622880016477	10.196407184944496	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0050/best_test_metrics.json
combo_0051	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0051	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.5	0.03	0.03	0.05	1e-3	0.25	normalized	15.365690553510511	587.0772444578978	24.22967693672158	10.430291476550403	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0051/best_test_metrics.json
combo_0052	metric_ok_nonzero_exit	139	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0052	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.5	0.03	0.03	0.05	1e-3	0.3	normalized	17.990280748487592	781.5412858155397	27.95605991221831	12.510301710249067	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0052/best_test_metrics.json
combo_0053	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0053	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.5	0.03	0.05	0.03	1e-3	0.25	normalized	15.487880225654122	590.805469272373	24.30649027055064	11.142640930038315	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0053/best_test_metrics.json
combo_0054	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0054	2026	0.001	adamw	1e-5	5.0	multistep	[30,60,80]	0.5	0.03	0.05	0.03	1e-3	0.3	normalized	15.545821305867788	591.8883427113026	24.328755469840676	11.342876876796687	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0054/best_test_metrics.json
